value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
9,0.8624338624172503,0.0720140613203734,3,40.0,0.1,0.1,40,400.0,400,51.0,51
15,0.8562169312007415,0.06046116734088997,5,40.0,0.1,0.1,40,400.0,400,51.0,51
16,0.8987301587083266,0.06647885486201005,5,40.0,0.1,0.1,40,400.0,400,51.0,51
22,0.8611462283972016,0.10667687639420335,2,40.0,0.1,0.1,40,400.0,400,51.0,51
26,0.841003787866306,0.1128509791269803,4,40.0,0.1,0.1,40,400.0,400,51.0,51
32,0.8111111110991759,0.16694421333670775,3,40.0,0.1,0.1,40,400.0,400,51.0,51
34,0.8411721380372768,0.024423696583264088,4,40.0,0.1,0.1,40,400.0,400,51.0,51
38,0.9011363636044185,0.09119116589124705,6,40.0,0.1,0.1,40,400.0,400,51.0,51
40,0.8684284116264596,0.10855750081222341,2,40.0,0.1,0.1,40,400.0,400,51.0,51
4,0.897619047607668,0.04437419156890365,5,40.0,0.2,0.2,40,200.0,200,51.0,51
11,0.8626112313529269,0.04978281836395456,6,40.0,0.2,0.2,40,200.0,200,51.0,51
13,0.9267676767582976,0.024998724585826748,2,40.0,0.2,0.2,40,200.0,200,51.0,51
15,0.8886153846061569,0.08429160620889264,5,40.0,0.2,0.2,40,200.0,200,51.0,51
16,0.8816287878710967,0.03883730426890504,2,40.0,0.2,0.2,40,200.0,200,51.0,51
23,0.8440235690158011,0.09570884747176708,3,40.0,0.2,0.2,40,200.0,200,51.0,51
25,0.8897069596960134,0.029185141155125147,5,40.0,0.2,0.2,40,200.0,200,51.0,51
29,0.8928571428475766,4.5096195598315384e-12,2,40.0,0.2,0.2,40,200.0,200,51.0,51
33,0.8822592338119964,0.030954133848425592,6,40.0,0.2,0.2,40,200.0,200,51.0,51
34,0.8611111111032901,0.027777777776044676,3,40.0,0.2,0.2,40,200.0,200,51.0,51
37,0.8991898148095002,0.027662279170813254,2,40.0,0.2,0.2,40,200.0,200,51.0,51
39,0.8905092592504558,0.028572729858444116,4,40.0,0.2,0.2,40,200.0,200,51.0,51
3,0.8418348318273283,0.054800373342489016,5,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
13,0.8531686091613607,0.0606087435399594,5,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
14,0.8259135251256378,0.007858729505836834,4,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
18,0.885021786484707,0.019374519553108916,6,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
23,0.8816287878707527,0.09298900376600873,4,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
28,0.8393493761064745,0.041296842178774176,3,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
33,0.8541666666579928,0.02946278254623835,2,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
35,0.8944483348819442,0.038560707921077346,6,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
39,0.9055555555450523,0.05877572234714511,8,40.0,0.3,0.3,40,133.33333333333334,133.333333333333,51.0,51
4,0.8517565359411075,0.039463490615859645,4,40.0,0.4,0.4,40,100.0,100,51.0,51
7,0.8401315789393397,0.043613894824004615,3,40.0,0.4,0.4,40,100.0,100,51.0,51
8,0.8291028911501449,0.0420889753280289,7,40.0,0.4,0.4,40,100.0,100,51.0,51
12,0.8234018758949341,0.02443847930355938,5,40.0,0.4,0.4,40,100.0,100,51.0,51
15,0.8461204083846966,0.049222761665678356,8,40.0,0.4,0.4,40,100.0,100,51.0,51
18,0.8140318627401544,0.04202779275388103,2,40.0,0.4,0.4,40,100.0,100,51.0,51
26,0.8431160342863245,0.04358749858475109,3,40.0,0.4,0.4,40,100.0,100,51.0,51
29,0.8365234166646144,0.047236533424719805,4,40.0,0.4,0.4,40,100.0,100,51.0,51
35,0.8391830065293856,0.025564128136541037,5,40.0,0.4,0.4,40,100.0,100,51.0,51
38,0.791435287561119,0.01170871629169334,3,40.0,0.4,0.4,40,100.0,100,51.0,51
40,0.832890720385135,0.03202021504366585,5,40.0,0.4,0.4,40,100.0,100,51.0,51
12,0.7922059422002606,0.01879314187723679,3,40.0,0.5,0.5,40,80.0,80,51.0,51
13,0.7962280939535743,0.022871913590704587,7,40.0,0.5,0.5,40,80.0,80,51.0,51
18,0.7648148148101337,0.018332398030049508,2,40.0,0.5,0.5,40,80.0,80,51.0,51
20,0.7660024154551454,0.0029889779404374847,2,40.0,0.5,0.5,40,80.0,80,51.0,51
25,0.7759259259194536,0.02625453125647689,3,40.0,0.5,0.5,40,80.0,80,51.0,51
30,0.8091806722640962,0.043310714311333945,5,40.0,0.5,0.5,40,80.0,80,51.0,51
32,0.7977614977565091,0.0342186182165201,3,40.0,0.5,0.5,40,80.0,80,51.0,51
33,0.8075860948611541,0.0254677231105633,3,40.0,0.5,0.5,40,80.0,80,51.0,51
34,0.8135265700438234,0.0322913525934918,3,40.0,0.5,0.5,40,80.0,80,51.0,51
37,0.8097126715811596,0.028799498359320132,6,40.0,0.5,0.5,40,80.0,80,51.0,51
39,0.8201641045763258,0.040185289525464865,11,40.0,0.5,0.5,40,80.0,80,51.0,51
2,0.741243734331604,0.03198407142582282,5,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
4,0.7414120702122936,0.02222621230752718,4,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
11,0.779246794866379,0.03229574241053202,2,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
13,0.8174064009627036,0.0020282350304639055,2,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
15,0.7740789473643499,0.034924882042148976,4,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
21,0.7493799603133375,0.0064888271098555396,2,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
29,0.7658529078257107,0.046639423855671006,7,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
30,0.7617231600890393,0.037097587748945275,7,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
31,0.7373405103632023,0.030308604057512907,2,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
33,0.7820422360817211,0.06482179045414334,6,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
35,0.7828279938937079,0.03314631280913537,4,40.0,0.6,0.6,40,66.66666666666667,66.6666666666667,51.0,51
1,0.7559336419710364,0.049296059914662266,6,40.0,0.7,0.7,40,57.142857142857146,57.1428571428571,51.0,51
2,0.7542343513071917,0.008105657922532511,3,40.0,0.7,0.7,40,57.142857142857146,57.1428571428571,51.0,51
3,0.7430367241561039,0.016500123060117028,5,40.0,0.7,0.7,40,57.142857142857146,57.1428571428571,51.0,51
4,0.7417881825740932,0.019810198815259358,5,40.0,0.7,0.7,40,57.142857142857146,57.1428571428571,51.0,51
8,0.7460252313335042,0.03829772925878642,6,40.0,0.7,0.7,40,57.142857142857146,57.1428571428571,51.0,51
